"level,""en"",""ja"",""ex"",""sEn"",""sJa"""
"400,""Purchase"",""購入する"",""buyの硬い表現。レシート等で頻出。"",""Keep your receipt as proof of purchase."",""購入の証明としてレシートを保管してください。"""
"400,""Available"",""利用可能な"",""在庫や予約状況を指す基本語。"",""The service is available 24 hours a day."",""そのサービスは24時間利用可能です。"""
"400,""Submit"",""提出する"",""公式に書類を出す動作。"",""Please submit the report by Friday."",""金曜日までにレポートを提出してください。"""
"400,""Equipment"",""設備、備品"",""オフィスや工場の機械。"",""Our office has the latest IT equipment."",""オフィスには最新のIT設備があります。"""
"400,""Require"",""必要とする"",""ルールや条件で求められること。"",""A valid passport is required."",""有効なパスポートが必要です。"""
"400,""Confirm"",""確認する"",""予約や決定を確実にすること。"",""I'd like to confirm my flight."",""フライトの確認をしたいのですが。"""
"400,""Instruction"",""指示、説明書"",""組み立て方ややり方。"",""Please follow the instructions carefully."",""説明書に注意深く従ってください。"""
"400,""Refund"",""払い戻し"",""お金を返してもらうこと。"",""You can ask for a full refund."",""全額払い戻しを求めることができます。"""
"400,""Feedback"",""意見、感想"",""アンケート等での顧客の生の声。"",""We appreciate your valuable feedback."",""貴重なご意見に感謝いたします。"""
"400,""Participate"",""参加する"",""joinの硬い表現。"",""Many people participated in the event."",""多くの人がそのイベントに参加しました。"""
"400,""Schedule"",""予定、スケジュール"",""予定を立てる動詞としても使う。"",""The meeting is scheduled for 10 AM."",""会議は午前10時に予定されています。"""
"400,""Delay"",""遅らせる、遅延"",""飛行機や電車の遅れに頻出。"",""The flight was delayed due to bad weather."",""悪天候のためフライトが遅れました。"""
"400,""Announce"",""発表する"",""公式な知らせや社内通達。"",""They announced a new product."",""彼らは新製品を発表しました。"""
"400,""Employee"",""従業員"",""雇われている人（employerは雇う側）。"",""We have over 500 employees."",""当社には500名以上の従業員がいます。"""
"400,""Signature"",""署名、サイン"",""契約書などの正式なサイン。"",""Please put your signature here."",""ここに署名をお願いします。"""
"400,""Contact"",""連絡する"",""get in touch withと同義。"",""Please contact our support team."",""サポートチームにご連絡ください。"""
"400,""Policy"",""方針、規定"",""会社のルールや保険の証書。"",""It is against company policy."",""それは会社の方針に反します。"""
"400,""Include"",""含む"",""料金に〜が含まれる際などに使う。"",""Breakfast is included in the room rate."",""朝食は宿泊料金に含まれています。"""
"400,""Provide"",""提供する"",""サービスや情報を与えること。"",""We provide excellent customer service."",""優れた顧客サービスを提供します。"""
"400,""Request"",""要請する、お願い"",""ask forの丁寧な表現。"",""We request your prompt response."",""迅速なご返答をお願いいたします。"""
"400,""Update"",""最新のものにする、更新"",""システムや情報の更新。"",""Please update your profile."",""プロフィールを更新してください。"""
"400,""Register"",""登録する"",""イベントやサイトへの登録。"",""You need to register online."",""オンラインで登録する必要があります。"""
"400,""Attend"",""出席する"",""会議やセミナーに参加すること。"",""All staff must attend the meeting."",""全スタッフが会議に出席しなければなりません。"""
"400,""Review"",""見直す、検討する"",""書類や計画を再確認すること。"",""Let's review the document together."",""一緒に書類を見直しましょう。"""
"400,""Charge"",""請求する、料金"",""サービスに対する費用。"",""There is no extra charge."",""追加料金はありません。"""
"400,""Notice"",""通知、気づく"",""お知らせや掲示物。"",""Did you see the notice on the board?"",""掲示板の通知を見ましたか？"""
"400,""Complete"",""完了させる、完全な"",""記入を終える際などにも使う。"",""Please complete this form."",""この用紙に記入してください。"""
"400,""Accept"",""受け入れる"",""提案や招待を承諾すること。"",""We accept major credit cards."",""主要なクレジットカードを受け付けています。"""
"400,""Offer"",""提供する、申し出"",""仕事のオファーや割引の提供。"",""They offered me a job."",""彼らは私に仕事をオファーしました。"""
"400,""Receive"",""受け取る"",""手紙や賞などをもらうこと。"",""I received an email from him."",""彼からメールを受け取りました。"""
"400,""Suggest"",""提案する"",""アイデアや計画を持ちかけること。"",""I suggest we take a break."",""休憩を取ることを提案します。"""
"400,""Improve"",""改善する"",""より良くすること。品質やスキルの向上。"",""We need to improve our service."",""私たちはサービスを改善する必要があります。"""
"400,""Discount"",""割引"",""価格を安くすること。買い物の文脈で頻出。"",""Can you give me a discount?"",""割引してくれませんか？"""
"400,""Arrive"",""到着する"",""目的地に着くこと。"",""The train will arrive soon."",""電車はもうすぐ到着します。"""
